age,health,income,stress
21,74,42746,53
33,64,72792,49
30,78,74178,64
32,71,102548,63
57,46,120418,35
29,70,37834,63
44,60,86664,44
52,64,140503,38
47,59,91345,50
26,65,45362,60
48,77,203652,51
40,81,108012,45
51,56,111933,31
43,55,97169,71
52,50,100332,43
34,57,71871,64
40,59,79035,74
42,70,148951,58
32,77,127952,52
41,56,93572,48
56,35,92043,41
48,46,65427,68
30,70,70572,71
41,57,47200,78
28,66,63102,55
58,41,119637,22
41,40,28169,46
51,43,63959,43
54,65,157694,31
49,62,156755,59
21,65,13576,62
58,44,84988,36
59,59,236240,21
49,39,103878,63
35,52,56625,50
24,66,57114,66
48,69,148140,49
45,53,111748,61
25,66,62147,81
33,74,73163,63
59,43,96986,27
39,56,37375,75
45,52,101740,74
46,60,96044,71
27,63,19325,81
55,54,153873,44
34,76,87450,78
54,19,9823,34
43,54,59109,69
42,62,118132,41
53,20,10503,29
33,67,85751,77
55,57,142147,41
44,57,60669,75
49,49,87960,35
37,57,60463,53
28,71,79579,75
21,68,39114,65
54,42,123257,53
31,59,48599,54
21,78,42191,88
23,67,23778,51
29,75,78006,70
24,75,43830,74
45,45,64065,47
23,59,44722,69
48,46,89339,42
59,58,147338,34
49,53,50780,45
29,62,46874,76
59,30,87695,20
55,13,-7075,35
57,33,94495,42
53,34,53883,46
23,71,44931,67
